"Trap","Year","Start.date","Start.month","End.date","End.month","Empty","o/u","FHL","Family","Genus","Art","Species","Number","Stratum","TreeSp"
"1",2017,5,7,19,7,"8","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","74-.003-.002-.","Aderidae","Euglenes","oculatus","Euglenes oculatus",2,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","60-.003-.001-.","Zopheridae","Pycnomerus","terebrans","Pycnomerus terebrans",1,"Lower","Tilia"
"1",2017,13,9,27,9,"13","o","90-.010-.001-.","Anthribidae","Platystomos","albinus","Platystomos albinus",1,"Lower","Tilia"
"1",2017,13,9,27,9,"13","o","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,13,9,27,9,"13","o","711.006-.003-.","Salpingidae","Salpingus","ruficollis","Salpingus ruficollis",2,"Lower","Tilia"
"1",2017,13,9,27,9,"13","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,13,9,27,9,"13","o","55-.008-.042-.","Cryptophagidae","Cryptophagus","punctipennis","Cryptophagus punctipennis",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","Nemozoma elongatum",2,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","52-.001-.008-.","Monotomidae","Rhizophagus","dispar","Rhizophagus dispar",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Stenagostus rhombeus",2,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","59-.006-.001-.","Mycetophagidae","Berginus","tamarisci","Berginus tamarisci",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","91-.036-.005-.","Curculionidae","Xyleborus","monographus","Xyleborus monographus",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","58-.005-.0031.","Latridiidae","Cartodere","nodifer","Cartodere nodifer",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","58-.003-.0081.","Latridiidae","Latridius","hirtus","Latridius hirtus",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","o","27-.008-.005-.","Cantharidae","Malthinus","facialis","Malthinus facialis",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","o","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","27-.008-.004-.","Cantharidae","Malthinus","balteatus","Malthinus balteatus",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","68-.014-.001-.","Ptinidae","Ptilinus","pectinicornis","Ptilinus pectinicornis",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","60-.003-.001-.","Zopheridae","Pycnomerus","terebrans","Pycnomerus terebrans",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","711.006-.002-.","Salpingidae","Salpingus","planirostris","Salpingus planirostris",2,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",0,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","82-.003-.001-.","Tenebrionidae","Prionychus","ater","Prionychus ater",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","79-.012-.001-.","Mordellidae","Mordellochroa","abdominalis","Mordellochroa abdominalis",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",2,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",2,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",3,"Lower","Tilia"
"1",2017,5,7,19,7,"8","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",5,"Lower","Tilia"
"1",2017,5,7,19,7,"8","o","23-.114-.007-.","Staphylinidae","Tachyporus","hypnorum","Tachyporus hypnorum",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","o","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","Dromius quadrimaculatus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Litargus connexus",1,"Lower","Tilia"
"1",2017,29,3,12,4,"1","u","01-.051-.011-.","Carabidae","Pterostichus","strenuus","Pterostichus strenuus",1,"Lower","Tilia"
"1",2017,19,7,2,8,"9","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",2,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","27-.008-.005-.","Cantharidae","Malthinus","facialis","Malthinus facialis",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum","Cerylon ferrugineum",7,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","711.006-.003-.","Salpingidae","Salpingus","ruficollis","Salpingus ruficollis",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","o","59-.006-.001-.","Mycetophagidae","Berginus","tamarisci","Berginus tamarisci",1,"Lower","Tilia"
"1",2017,12,4,26,4,"2","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",2,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","91-.036-.005-.","Curculionidae","Xyleborus","monographus","Xyleborus monographus",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Litargus connexus",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","09-.0011.027-.","Helophoridae","Helophorus","granularis","Helophorus granularis",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","55-.014-.016-.","Cryptophagidae","Atomaria","lewisi","Atomaria lewisi",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","492.002-.002-.","Cerylonidae","Cerylon","histeroides","Cerylon histeroides",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","54-.003-.004-.","Erotylidae","Dacne","bipustulata","Dacne bipustulata",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","Nemozoma elongatum",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","531.011-.001-.","Silvanidae","Uleiota","planatus","Uleiota planatus",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","o","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","58-.005-.0031.","Latridiidae","Cartodere","nodifer","Cartodere nodifer",1,"Lower","Tilia"
"1",2017,30,8,13,9,"12","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,30,8,13,9,"12","u","711.006-.003-.","Salpingidae","Salpingus","ruficollis","Salpingus ruficollis",1,"Lower","Tilia"
"1",2017,30,8,13,9,"12","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Lower","Tilia"
"1",2017,30,8,13,9,"12","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,30,8,13,9,"12","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","01-.079-.004-.","Carabidae","Dromius","agilis","Dromius agilis",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",4,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",4,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","87-.080-.002-.","Cerambycidae","Exocentrus","lusitanus","Exocentrus lusitanus",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","711.006-.002-.","Salpingidae","Salpingus","planirostris","Salpingus planirostris",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",4,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","62-.031-.002-.","Coccinellidae","Calvia","quatuordecimguttata","Calvia quatuordecimguttata",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",2,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","58-.004-.014-.","Latridiidae","Enicmus","transversus","Enicmus transversus",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","492.002-.002-.","Cerylonidae","Cerylon","histeroides","Cerylon histeroides",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Stenagostus rhombeus",2,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",7,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","Nemozoma elongatum",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Litargus connexus",1,"Lower","Tilia"
"1",2017,12,4,26,4,"2","u","01-.065-.026-.","Carabidae","Amara","familiaris","Amara familiaris",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","58-.003-.0081.","Latridiidae","Latridius","hirtus","Latridius hirtus",1,"Lower","Tilia"
"1",2017,5,7,19,7,"8","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",4,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","58-.003-.0081.","Latridiidae","Latridius","hirtus","Latridius hirtus",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","68-.0011.001-.","Ptinidae","Ptinomorphus","imperialis","Ptinomorphus imperialis",1,"Lower","Tilia"
"1",2017,12,4,26,4,"2","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","79-.001-.001-.","Mordellidae","Tomoxia","bucephala","Tomoxia bucephala",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","30-.005-.009-.","Dasytidae","Dasytes","aeratus","Dasytes aeratus",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","o","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","58-.004-.012-.","Latridiidae","Enicmus","rugosus","Enicmus rugosus",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","Athous haemorrhoidalis",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","o","90-.010-.001-.","Anthribidae","Platystomos","albinus","Platystomos albinus",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","58-.007-.0172.","Latridiidae","Corticaria","alleni","Corticaria alleni",1,"Lower","Tilia"
"1",2017,2,8,16,8,"10","u","90-.010-.001-.","Anthribidae","Platystomos","albinus","Platystomos albinus",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",2,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",2,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","62-.031-.001-.","Coccinellidae","Calvia","decemguttata","Calvia decemguttata",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","91-.011-.003-.","Curculionidae","Hylesinus","varius","Hylesinus varius",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","87-.085-.001-.","Cerambycidae","Stenostola","dubia","Stenostola dubia",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","27-.002-.018-.","Cantharidae","Cantharis","nigricans","Cantharis nigricans",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",4,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Symbiotes gibberosus",1,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","74-.003-.002-.","Aderidae","Euglenes","oculatus","Euglenes oculatus",3,"Lower","Tilia"
"1",2017,21,6,5,7,"7","u","55-.014-.046-.","Cryptophagidae","Atomaria","linearis","Atomaria linearis",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Litargus connexus",2,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","83-.029-.001-.","Tenebrionidae","Latheticus","oryzae","Latheticus oryzae",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Brachygonus megerlei",2,"Lower","Tilia"
"1",2017,5,7,19,7,"8","o","27-.008-.004-.","Cantharidae","Malthinus","balteatus","Malthinus balteatus",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","o","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","58-.003-.0081.","Latridiidae","Latridius","hirtus","Latridius hirtus",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","601.008-.004-.","Corylophidae","Orthoperus","corticalis","Orthoperus corticalis",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","o","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",1,"Lower","Tilia"
"1",2017,10,5,23,5,"4","u","24-.002-.003-.","Staphylinidae","Bibloporus","minutus","Bibloporus minutus",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","o","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","Adalia decempunctata",1,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","Brassicogethes aeneus",3,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","74-.003-.002-.","Aderidae","Euglenes","oculatus","Euglenes oculatus",1,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","601.004-.001-.","Corylophidae","Sericoderus","lateralis","Sericoderus lateralis",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",3,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",2,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",2,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.","Aleocharinae spec.",8,"Lower","Tilia"
"1",2017,26,4,10,5,"3","u","52-.001-.009-.","Monotomidae","Rhizophagus","bipustulatus","Rhizophagus bipustulatus",1,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","55-.008-.027-.","Cryptophagidae","Cryptophagus","quadridentatus","Cryptophagus quadridentatus",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",2,"Lower","Tilia"
"1",2017,7,6,21,6,"6","u","87-.087-.001-.","Cerambycidae","Tetrops","praeustus","Tetrops praeustus",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","79-.012-.001-.","Mordellidae","Mordellochroa","abdominalis","Mordellochroa abdominalis",2,"Lower","Tilia"
"1",2017,16,8,30,8,"11","u","55-.008-.042-.","Cryptophagidae","Cryptophagus","punctipennis","Cryptophagus punctipennis",1,"Lower","Tilia"
"1",2017,23,5,7,6,"5","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",14,"Lower","Tilia"
"1",2017,7,6,21,6,"6","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Lower","Tilia"
"10",2017,26,4,10,5,"3","o","29-.006-.0032.","Malachiidae","Malachius","bipustulatus","Malachius bipustulatus",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","o","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",3,"Upper","Fraxinus"
"10",2017,30,8,13,9,"12","o","62-.027-.002-.","Coccinellidae","Oenopia","conglobata","Oenopia conglobata",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","o","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","Adalia decempunctata",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","o","88-.017-.071-.","Chrysomelidae","Cryptocephalus","pusillus","Cryptocephalus pusillus",3,"Upper","Fraxinus"
"10",2017,30,8,13,9,"12","o","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",8,"Upper","Fraxinus"
"10",2017,23,5,7,6,"5","o","70-.006-.001-.","Oedemeridae","Chrysanthia","viridissima","Chrysanthia viridissima",1,"Upper","Fraxinus"
"10",2017,30,8,13,9,"12","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",3,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","o","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","Anaspis frontalis",3,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","o","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",2,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","u","23-.xxx-.xxx-.","Staphylinidae","Omaliinae","spec.","Omaliinae spec.",1,"Upper","Fraxinus"
"10",2017,5,7,19,7,"8","u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Xyleborinus saxesenii",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","93-.079-.001-.","Curculionidae","Phloeophagus","lignarius","Phloeophagus lignarius",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"10",2017,23,5,7,6,"5","o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","34-.007-.001-.","Elateridae","Elater","ferrugineus","Elater ferrugineus",1,"Upper","Fraxinus"
"10",2017,23,5,7,6,"5","o","27-.002-.025-.","Cantharidae","Cantharis","decipiens","Cantharis decipiens",1,"Upper","Fraxinus"
"10",2017,23,5,7,6,"5","u","60-.018-.001-.","Zopheridae","Colydium","elongatum","Colydium elongatum",1,"Upper","Fraxinus"
"10",2017,30,8,13,9,"12","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","83-.023-.008-.","Tenebrionidae","Corticeus","fasciatus","Corticeus fasciatus",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","o","93-.110-.006-.","Curculionidae","Curculio","glandium","Curculio glandium",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","o","93-.1804.002-.","Curculionidae","Orchestes","betuleti","Orchestes betuleti",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","68-.009-.001-.","Ptinidae","Stegobium","paniceum","Stegobium paniceum",1,"Upper","Fraxinus"
"10",2017,5,7,19,7,"8","o","62-.031-.001-.","Coccinellidae","Calvia","decemguttata","Calvia decemguttata",1,"Upper","Fraxinus"
"10",2017,5,7,19,7,"8","o","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",9,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",3,"Upper","Fraxinus"
"10",2017,5,7,19,7,"8","o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Rhagonycha fulva",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","u","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Lignyodes enucleator",1,"Upper","Fraxinus"
"10",2017,21,6,5,7,"7","u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","Dromius quadrimaculatus",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","u","30-.002-.001-.","Dasytidae","Aplocnemus","impressus","Aplocnemus impressus",1,"Upper","Fraxinus"
"10",2017,26,4,10,5,"3","o","62-.031-.002-.","Coccinellidae","Calvia","quatuordecimguttata","Calvia quatuordecimguttata",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","o","27-.002-.025-.","Cantharidae","Cantharis","decipiens","Cantharis decipiens",3,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","o","69-.008-.017-.","Ptinidae","Ptinus","sexpunctatus","Ptinus sexpunctatus",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","u","34-.001-.017-.","Elateridae","Ampedus","pomonae","Ampedus pomonae",1,"Upper","Fraxinus"
"10",2017,29,3,12,4,"1","u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","Halyzia sedecimguttata",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","u","93-.106-.021-.","Curculionidae","Anthonomus","rectirostris","Anthonomus rectirostris",1,"Upper","Fraxinus"
"10",2017,10,5,23,5,"4","u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Harmonia axyridis",3,"Upper","Fraxinus"
"10",2017,23,5,7,6,"5","u","90-.010-.001-.","Anthribidae","Platystomos","albinus","Platystomos albinus",1,"Upper","Fraxinus"
"10",2017,30,8,13,9,"12","u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Cortinicara gibbosa",1,"Upper","Fraxinus"
