"Trap","Year","Start.date","Start.month","End.date","End.month","Empty","o/u","FHL","Family","Genus","Art","Ref","Number","Stratum","TreeSp"
"1",2018,22,5,5,6,5,"o","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",2,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,6,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","24-.006-.013-.","Staphylinidae","Euplectus","punctatus Muls.Rey, 1861",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","24-.006-.013-.","Staphylinidae","Euplectus","punctatus Muls.Rey, 1861",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","27-.008-.001-.","Cantharidae","Malthinus","flaveolus","Herbst, 1786",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","65-.006-.028-.","Ciidae","Cis","festivus","Panzer, 1793",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","68-.014-.001-.","Ptinidae","Ptilinus","pectinicornis","L., 1758",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","87-.080-.002-.","Cerambycidae","Exocentrus","lusitanus","L., 1767",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","87-.081-.0071.","Cerambycidae","Agapanthia","intermedia Ganglb., 1884",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",13,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","93-.132-.001-.","Curculionidae","Gasterocercus","depressirostris","F., 1792",1,"Lower","Tilia"
"1",2018,17,7,1,8,9,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,17,7,1,8,9,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",5,"Lower","Tilia"
"1",2018,5,6,19,6,6,"o","","","kein Glas","",NA,0,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","L., 1758",1,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,5,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","30-.005-.008-.","Dasytidae","Dasytes","plumbeus (O. Müller, 1776)",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"o","27-.005-.002-.","Cantharidae","Rhagonycha","fulva","Scop., 1763",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"o","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","L., 1758",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"o","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","01-.013-.001-.","Carabidae","Loricera","pilicornis","F., 1775",1,"Lower","Tilia"
"1",2018,11,9,26,9,13,"o","","","kein Glas","",NA,0,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","87-.080-.002-.","Cerambycidae","Exocentrus","lusitanus","L., 1767",1,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",4,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Geoffr., 1785",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","L., 1761",1,"Lower","Tilia"
"1",2018,11,4,24,4,2,"0","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",2,"Lower","Tilia"
"1",2018,11,4,24,4,2,"0","62-.022-.001-.","Coccinellidae","Tytthaspis","sedecimpunctata","L., 1761",2,"Lower","Tilia"
"1",2018,11,4,24,4,2,"0","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,11,4,24,4,2,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,1,"Lower","Tilia"
"1",2018,11,4,24,4,2,"u","45-.002-.004-.","Dermestidae","Attagenus","punctatus","Scop., 1772",1,"Lower","Tilia"
"1",2018,11,4,24,4,2,"u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum Steph., 1830",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Geoffr., 1785",2,"Lower","Tilia"
"1",2018,4,7,17,7,8,"o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,4,7,17,7,8,"o","88-.049-.002-.","Chrysomelidae","Phyllotreta","vittula","L. Redt., 1849",1,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,3,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","27-.008-.009-.","Cantharidae","Malthinus","biguttatus","L., 1758",1,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","23-.xxx-.xxx-.","Staphylinidae","Tachyporinae","spec.",NA,1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"o","27-.002-.008-.","Cantharidae","Cantharis","pellucida F., 1792",NA,1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,3,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","27-.002-.025-.","Cantharidae","Cantharis","decipiens Baudi, 1872",NA,1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","30-.005-.009-.","Dasytidae","Dasytes","aeratus Steph., 1830",NA,2,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","34-.0342.001-.","Elateridae","Nothodes","parvulus","Panzer, 1799",1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","36-.003-.001-.","Eucnemidae","Eucnemis","capucina Ahr., 1812",NA,2,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum Steph., 1830",NA,4,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","68-.008-.002-.","Ptinidae","Oligomerus","brunneus","Olivier, 1790",1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","73-.004-.010-.","Scraptiidae","Anaspis","maculata","Geoffr., 1785",1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","Payk., 1799",2,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","87-.023-.002-.","Cerambycidae","Grammoptera","ruficornis","F., 1781",1,"Lower","Tilia"
"1",2018,8,5,29,5,4,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",2,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,5,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","24-.006-.001-.","Staphylinidae","Euplectus","nanus","Reichb., 1816",1,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","F., 1775",1,"Lower","Tilia"
"1",2018,24,4,8,5,3,"o","","","kein Glas","",NA,0,"Lower","Tilia"
"1",2018,24,4,8,5,3,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,3,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","50-.009-.005-.","Nitidulidae","Epuraea","neglecta","Heer, 1841",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","50-.020-.002-.","Nitidulidae","Cryptarcha","undata","Olivier, 1790",1,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","321.001-.001-.","Trogossitidae","Nemozoma","elongatum","L., 1761",4,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","F., 1775",21,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Geoffr., 1785",1,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","60-.003-.001-.","Zopheridae","Pycnomerus","terebrans","Olivier, 1790",2,"Lower","Tilia"
"1",2018,5,6,19,6,6,"u","73-.004-.022-.","Scraptiidae","Anaspis","flava","L., 1758",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","23-.xxx-.xxx-.","Staphylinidae","Tachyporinae","spec.",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","62-.031-.001-.","Coccinellidae","Calvia","decemguttata","L., 1767",2,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","L., 1758",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","34-.007-.001-.","Elateridae","Elater","ferrugineus L., 1758",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","36-.003-.001-.","Eucnemidae","Eucnemis","capucina Ahr., 1812",NA,1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","45-.005-.001-.","Dermestidae","Globicornis","nigripes","F., 1792",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum Steph., 1830",NA,3,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","55-.014-.021-.","Cryptophagidae","Atomaria","basalis Er., 1846",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","55-.014-.021-.","Cryptophagidae","Atomaria","basalis Er., 1846",NA,1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",5,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","60-.013-.005-.","Zopheridae","Synchita","undata Guér.Mén., 1844",NA,2,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",2,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Lucas, 1846",1,"Lower","Tilia"
"1",2018,27,3,11,4,1,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,1,"Lower","Tilia"
"1",2018,17,7,1,8,9,"o","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",2,"Lower","Tilia"
"1",2018,17,7,1,8,9,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,7,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","45-.002-.003-.","Dermestidae","Attagenus","pellio","L., 1758",1,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","711.006-.002-.","Salpingidae","Salpingus","planirostris","F., 1787",1,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","91-.001-.005-.","Curculionidae","Scolytus","carpini","Ratz., 1837",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Geoffr., 1785",1,"Lower","Tilia"
"1",2018,22,5,5,6,5,"u","60-.003-.001-.","Zopheridae","Pycnomerus","terebrans","Olivier, 1790",1,"Lower","Tilia"
"1",2018,1,8,16,8,10,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,2,"Lower","Tilia"
"1",2018,16,8,29,8,11,"o","93-.110-.006-.","Curculionidae","Curculio","glandium Marsh., 1802",NA,1,"Lower","Tilia"
"1",2018,27,3,11,4,1,"o","93-.044-.010-.","Curculionidae","Sitona","lineatus","L., 1758",1,"Lower","Tilia"
"1",2018,29,8,11,9,12,"o","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",1,"Lower","Tilia"
"1",2018,16,8,29,8,11,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",2,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","82-.003-.001-.","Tenebrionidae","Prionychus","ater","F., 1775",2,"Lower","Tilia"
"1",2018,17,7,1,8,9,"u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Lacord., 1835",1,"Lower","Tilia"
"1",2018,29,8,11,9,12,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",1,"Lower","Tilia"
"1",2018,1,8,16,8,10,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",3,"Lower","Tilia"
"1",2018,1,8,16,8,10,"o","","","kein Glas","",NA,0,"Lower","Tilia"
"1",2018,4,7,17,7,8,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",13,"Lower","Tilia"
"1",2018,1,8,16,8,10,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Lower","Tilia"
"1",2018,29,8,11,9,12,"u","65-.006-.028-.","Ciidae","Cis","festivus","Panzer, 1793",1,"Lower","Tilia"
"1",2018,17,7,1,8,9,"o","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Lower","Tilia"
"1",2018,16,8,29,8,11,"u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Lacord., 1835",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","93-.078-.005-.","Curculionidae","Rhyncolus","punctatulus Boh., 1838",NA,1,"Lower","Tilia"
"1",2018,1,8,16,8,10,"u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Olivier, 1790",1,"Lower","Tilia"
"1",2018,19,6,4,7,7,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",13,"Lower","Tilia"
"10",2018,5,6,19,6,6,"o","93-.044-.010-.","Curculionidae","Sitona","lineatus","L., 1758",1,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","87-.023-.001-.","Cerambycidae","Grammoptera","ustulata","Schaller, 1783",1,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","91-.011-.003-.","Curculionidae","Hylesinus","varius","F., 1775",5,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","D'Anthoine, 1788",3,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","91-.011-.002-.","Curculionidae","Hylesinus","toranio","D'Anthoine, 1788",3,"Upper","Fraxinus"
"10",2018,1,8,16,8,10,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","34-.041-.001-.","Elateridae","Athous","haemorrhoidalis","F., 1801",3,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"o","70-.006-.001-.","Oedemeridae","Chrysanthia","viridissima","L., 1758",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","551.005-.0012.","Erotylidae","Cryptophilus","propinquus Rtt., 1874",NA,1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"o","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Panzer, 1798",1,"Upper","Fraxinus"
"10",2018,1,8,16,8,10,"o","88-.052-.007-.a","Chrysomelidae","Altica","oleracea oleracea","L., 1758",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","50-.008d.010-.","Nitidulidae","Brassicogethes","aeneus","F., 1775",17,"Upper","Fraxinus"
"10",2018,1,8,16,8,10,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,1,"Upper","Fraxinus"
"10",2018,1,8,16,8,10,"o","62-.018-.003-.","Coccinellidae","Hippodamia","variegata","Goeze, 1777",1,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"o","70-.007-.002-.","Oedemeridae","Ischnomera","caerulea","L., 1758",1,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","55-.014-.016-.","Cryptophagidae","Atomaria","lewisi Rtt., 1877",NA,1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","Payk., 1799",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"o","27-.002-.008-.","Cantharidae","Cantharis","pellucida F., 1792",NA,1,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","68-.0011.001-.","Ptinidae","Ptinomorphus","imperialis","L., 1767",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","30-.005-.008-.","Dasytidae","Dasytes","plumbeus (O. Müller, 1776)",NA,1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"o","88-.049-.002-.","Chrysomelidae","Phyllotreta","vittula","L. Redt., 1849",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"o","88-.049-.002-.","Chrysomelidae","Phyllotreta","vittula","L. Redt., 1849",4,"Upper","Fraxinus"
"10",2018,11,4,24,4,2,"u","93-.027-.026-.","Curculionidae","Polydrusus","mollis (Ström, 1768)",NA,1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",5,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"o","88-.052-.007-.a","Chrysomelidae","Altica","oleracea oleracea","L., 1758",1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",25,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","36-.003-.001-.","Eucnemidae","Eucnemis","capucina Ahr., 1812",NA,2,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Panzer, 1798",1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Olivier, 1790",2,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","601.004-.001-.","Corylophidae","Sericoderus","lateralis","Gyll., 1827",1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Lucas, 1846",2,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"o","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Panzer, 1798",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,4,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","34-.0011.001-.","Elateridae","Brachygonus","megerlei","Lacord., 1835",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","93-.078-.004-.","Curculionidae","Rhyncolus","ater","L., 1758",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","93-.163-.023-.","Curculionidae","Ceutorhynchus","pallidactylus","Marsh., 1802",1,"Upper","Fraxinus"
"10",2018,4,7,17,7,8,"u","12-.001-.009-.","Silphidae","Nicrophorus","vestigator Herschel, 1807",NA,2,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","59-.006-.001-.","Mycetophagidae","Berginus","tamarisci Woll., 1854",NA,1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","L., 1758",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,3,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","24-.018-.008-.","Staphylinidae","Bryaxis","puncticollis","Denny, 1825",1,"Upper","Fraxinus"
"10",2018,5,6,19,6,6,"u","91-.0363.001-.","Curculionidae","Xyleborinus","saxesenii","Ratz., 1837",3,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","82-.008-.002-.","Tenebrionidae","Mycetochara","axillaris","Payk., 1799",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"o","73-.004-.009-.","Scraptiidae","Anaspis","frontalis","L., 1758",1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Lucas, 1846",2,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Upper","Fraxinus"
"10",2018,22,5,5,6,5,"u","62-.028-.002-.","Coccinellidae","Harmonia","axyridis","Pallas, 1773",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","93-.044-.013-.a","Curculionidae","Sitona","sulcifrons sulcifrons","Thunb., 1798",1,"Upper","Fraxinus"
"10",2018,8,5,29,5,4,"o","93-.103-.001-.","Curculionidae","Lignyodes","enucleator","Panzer, 1798",1,"Upper","Fraxinus"
"10",2018,8,5,29,5,4,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,3,"Upper","Fraxinus"
"10",2018,4,7,17,7,8,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","23-.xxx-.xxx-.","Staphylinidae","Aleocharinae","spec.",NA,7,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","34-.038-.002-.","Elateridae","Stenagostus","rhombeus","Olivier, 1790",2,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","68-.007-.012-.","Ptinidae","Ernobius","mollis","L., 1758",3,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","79-.011-.053-.","Mordellidae","Mordellistena","variegata","F., 1798",1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","87-.078-.0011.","Cerambycidae","Leiopus","linnei Wall.Ny.K., 2009",NA,1,"Upper","Fraxinus"
"10",2018,29,8,11,9,12,"u","93-.110-.006-.","Curculionidae","Curculio","glandium Marsh., 1802",NA,1,"Upper","Fraxinus"
"10",2018,22,5,5,6,5,"u","59-.003-.001-.","Mycetophagidae","Litargus","connexus","Geoffr., 1785",1,"Upper","Fraxinus"
"10",2018,22,5,5,6,5,"u","61-.003-.002-.","Endomychidae","Symbiotes","gibberosus","Lucas, 1846",3,"Upper","Fraxinus"
"10",2018,17,7,1,8,9,"u","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Upper","Fraxinus"
"10",2018,8,5,29,5,4,"u","93-.110-.004-.","Curculionidae","Curculio","villosus F., 1781",NA,1,"Upper","Fraxinus"
"10",2018,4,7,17,7,8,"u","01-.079-.012-.","Carabidae","Dromius","quadrimaculatus","L., 1758",1,"Upper","Fraxinus"
"10",2018,8,5,29,5,4,"u","27-.002-.008-.","Cantharidae","Cantharis","pellucida F., 1792",NA,2,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"o","93-.178-.001-.","Curculionidae","Stereonychus","fraxini","DeGeer, 1775",1,"Upper","Fraxinus"
"10",2018,8,5,29,5,4,"u","492.002-.003-.","Cerylonidae","Cerylon","ferrugineum Steph., 1830",NA,1,"Upper","Fraxinus"
"10",2018,19,6,4,7,7,"u","62-.035-.001-.","Coccinellidae","Halyzia","sedecimguttata","L., 1758",1,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","29-.006-.0032.","Malachiidae","Malachius","bipustulatus","L., 1758",2,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","30-.005-.009-.","Dasytidae","Dasytes","aeratus Steph., 1830",NA,4,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","38-.020-.007-.","Buprestidae","Agrilus","sulcicollis Lacord., 1835",NA,1,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","50-.009-.001-.","Nitidulidae","Epuraea","melanocephala","Marsh., 1802",1,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","58-.0081.001-.","Latridiidae","Cortinicara","gibbosa","Herbst, 1793",1,"Upper","Fraxinus"
"10",2018,24,4,8,5,3,"u","62-.023-.002-.","Coccinellidae","Adalia","decempunctata","L., 1758",1,"Upper","Fraxinus"
